,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
65,Ernie Els,06522,,,,,,,,4.2,0.0,4.2,0.0,,,,
66,Harrison Endycott,47079,71.601,-0.479,-0.217,-0.001,-0.525,-0.398,0.046,,,,,,,,
67,Harris English,34099,70.687,0.423,-0.427,0.289,0.006,0.16,0.417,1.33,0.67,1.33,0.67,1400.0,10.0,0.0,11583.0
68,Matt Every,28307,,,,,,,,5.67,0.0,6.5,0.0,,,,
69,Brad Faxon,01329,,,,,,,,,,,,,,,
70,Tony Finau,29725,69.69,1.755,0.376,0.253,1.65,0.9,0.106,-3.57,0.86,-3.57,0.86,,,,
71,Matt Fitzpatrick,40098,70.371,1.002,0.292,0.321,0.592,-0.085,0.409,,,,,,,,3667.0
72,Tommy Fleetwood,30911,69.748,1.624,0.154,0.529,1.303,0.402,0.321,6.0,0.0,6.0,0.0,,,,
73,Rickie Fowler,32102,69.689,1.488,0.156,0.228,1.183,0.767,0.305,-2.38,0.62,-3.0,0.67,1443.0,8.0,1.0,3583.0
74,Ryan Fox,29936,,,,,,,,3.0,0.0,3.0,0.0,,,,14167.0
75,Robin Freeman,01374,,,,,,,,,,,,,,,
76,Dylan Frittelli,29970,72.263,-1.009,-0.449,-0.033,-1.084,-0.413,0.075,3.5,0.5,3.0,0.33,,,,93333.0
77,Jim Furyk,10809,,,,,,,,-0.17,0.67,-0.29,0.57,,,,
78,Brice Garnett,29535,71.481,0.122,-0.262,0.181,-0.155,-0.145,0.276,0.5,0.5,0.67,0.33,,,,
79,Robert Garrigus,24358,,,,,,,,,,,,,,,
80,Ryan Gerard,59018,,,,,,,,,,,,,,,
81,Doug Ghim,52375,71.461,-0.274,-0.064,0.018,-0.122,-0.106,-0.152,7.0,0.5,7.0,0.5,1388.0,7.0,1.0,
82,Michael Gligic,32662,72.509,-1.105,0.307,-0.507,-0.867,-0.465,-0.238,,,,,,,,
83,Lucas Glover,25900,71.878,-0.553,0.115,-0.071,0.22,0.155,-0.773,1.5,1.0,1.5,1.0,1418.0,7.0,1.0,57500.0
84,Fabián Gómez,28679,,,,,,,,,,,,,,,
85,Will Gordon,56762,70.624,0.325,0.412,-0.354,0.313,0.281,0.013,,,,,,,,30833.0
86,Jason Gore,22892,,,,,,,,,,,,,,,
87,David Gossett,23338,,,,,,,,,,,,,,,
88,Tano Goya,31577,71.449,-0.443,0.09,0.15,-0.184,-0.458,-0.258,,,,,,,,
89,Brent Grant,51414,72.08,-1.455,0.636,-0.507,-0.822,-0.774,-0.634,,,,,,,,
90,Nathan Green,23718,,,,,,,,,,,,,,,
91,Ben Griffin,54591,70.294,0.65,-0.004,0.378,0.369,-0.03,0.281,,,,,,,,34167.0
92,Lanto Griffin,35310,,,,,,,,5.0,0.67,4.0,0.5,1419.0,5.0,1.0,55833.0
93,Emiliano Grillo,31646,70.703,0.439,0.213,-0.168,0.45,0.372,-0.01,-1.71,0.71,-1.12,0.62,1395.0,1.0,1.0,12667.0
94,Bill Haas,24924,71.869,-1.294,-0.037,0.191,-1.186,-1.242,-0.108,-1.6,0.6,-1.6,0.6,,,,
95,Chesson Hadley,34563,71.351,-0.266,-0.238,-0.632,-0.492,0.373,0.226,-0.67,0.67,-1.0,0.75,,,,
96,Adam Hadwin,33399,70.425,0.761,0.094,0.063,0.351,0.205,0.41,1.12,0.62,0.44,0.67,1352.0,-2.0,1.0,13417.0
97,James Hahn,32448,71.677,-0.186,0.237,-0.276,0.118,0.089,-0.303,-1.0,0.5,-0.6,0.4,,,,
98,Paul Haley II,35901,71.514,-0.515,-0.339,0.128,-0.668,-0.472,0.152,,,,,,,,
99,Harry Hall,57975,70.646,0.389,-0.215,0.398,-0.348,-0.556,0.737,,,,,,,,
100,Nick Hardy,47988,71.004,-0.146,0.106,-0.296,0.202,0.41,-0.348,,,,,,,,40000.0
101,Brian Harman,27644,70.548,0.479,0.436,-0.123,0.301,-0.108,0.178,-0.2,0.6,-0.2,0.6,1365.0,-2.0,1.0,11333.0
102,Scott Harrington,27554,71.897,-0.937,0.076,-0.198,-0.427,-0.338,-0.51,6.0,1.0,4.5,0.5,,,,
103,Tyrrell Hatton,34363,69.46,2.058,0.614,0.188,1.545,0.721,0.513,-3.0,1.0,-3.0,1.0,,,,2500.0
104,J.P. Hayes,08537,,,,,,,,,,,,,,,
105,David Hearn,26758,,,,,,,,-1.33,0.33,-0.75,0.25,,,,
106,Russell Henley,34098,70.497,0.187,0.121,0.183,0.614,0.17,-0.427,-1.0,0.5,-3.0,0.6,,,,4917.0
107,J.J. Henry,23353,,,,,,,,,,,,,,,
108,Lucas Herbert,39058,71.617,-0.812,0.268,-0.248,-0.819,-0.722,0.007,1.5,1.0,1.5,1.0,1420.0,4.0,1.0,15750.0
109,Jim Herman,31557,72.034,-1.056,-0.023,-0.136,-0.551,-0.425,-0.505,-0.2,0.6,0.83,0.5,,,,
110,Kramer Hickok,49298,71.383,-0.245,0.113,-0.067,0.061,-0.077,-0.306,8.0,1.0,8.0,1.0,1412.0,8.0,1.0,
111,Garrick Higgo,54421,71.224,-0.115,0.411,0.029,0.212,-0.212,-0.327,-2.0,1.0,-2.0,1.0,1398.0,-2.0,1.0,35833.0
112,Harry Higgs,33597,71.665,-1.567,-0.67,0.198,-1.792,-1.254,0.225,12.5,0.5,11.0,0.33,,,,
113,Lee Hodges,54628,70.838,0.157,0.259,-0.232,0.209,0.096,-0.052,,,,,,,,34167.0
114,Charley Hoffman,12716,71.457,-0.3,0.065,0.112,0.522,0.4,-0.822,3.4,0.4,1.0,0.5,1375.0,3.0,0.0,
115,Tom Hoge,35532,70.413,0.847,-0.03,-0.29,0.635,0.955,0.212,2.25,0.25,2.4,0.2,1458.0,5.0,0.0,17083.0
116,Nicolai Hojgaard,52453,,,,,,,,,,,,,,,21250.0
117,J.B. Holmes,27141,,,,,,,,-1.2,0.4,-0.83,0.33,,,,
118,Max Homa,39977,69.723,1.82,0.138,0.254,1.08,0.655,0.741,-2.5,0.75,-2.2,0.6,1423.0,-6.0,1.0,
119,Billy Horschel,29420,71.457,-0.167,-0.382,0.154,-0.379,-0.079,0.212,-1.57,0.71,-2.75,0.75,1367.0,-13.0,1.0,18167.0
120,Beau Hossler,35461,70.626,0.151,0.092,0.348,-0.007,-0.554,0.158,0.67,0.67,2.25,0.5,1368.0,1.0,1.0,17917.0
121,Viktor Hovland,46717,69.673,1.267,0.706,-0.113,1.252,0.711,0.015,5.67,1.0,0.5,1.0,1461.0,5.0,1.0,1967.0
122,Mark Hubbard,36801,70.667,0.497,-0.14,0.182,0.551,0.506,-0.054,7.0,0.67,5.75,0.5,,,,28750.0
123,Mackenzie Hughes,35506,70.875,0.3,-0.241,0.403,-0.121,-0.287,0.42,2.4,0.6,1.5,0.67,1424.0,2.0,1.0,30833.0
124,John Huh,34174,,,,,,,,-5.33,1.0,-5.33,1.0,,,,
125,Sungjae Im,39971,69.969,1.277,0.624,0.352,1.078,0.148,0.198,1.25,0.5,1.4,0.6,1450.0,-4.0,1.0,3750.0
126,Trevor Immelman,22378,,,,,,,,,,,,,,,
127,Tony Jacklin,06306,,,,,,,,,,,,,,,
128,Stephan Jaeger,36799,70.232,0.689,0.249,0.393,0.767,0.131,-0.078,,,,,,,,15833.0
