,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
115,Tom Hoge,35532,70.598,0.455,-0.28,-0.091,0.319,0.765,0.137,2.67,1.0,15.0,1.0,58.0,0.0,1.0
116,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
117,J.B. Holmes,27141,,,,,,,,-8.67,1.0,,,,,
118,Max Homa,39977,69.583,1.652,0.219,0.246,1.056,0.517,0.596,1.0,1.0,13.0,1.0,38.0,-5.0,1.0
119,Billy Horschel,29420,70.997,0.047,-0.228,0.043,-0.3,-0.118,0.347,-5.5,1.0,7.0,1.0,7.0,-2.0,1.0
120,Beau Hossler,35461,70.525,0.308,0.236,0.223,0.123,-0.487,0.185,-9.0,1.0,,,,,
121,Viktor Hovland,46717,69.392,1.401,0.655,0.039,1.289,0.59,0.112,-3.5,1.0,8.0,1.0,,,
122,Mark Hubbard,36801,70.63,0.516,-0.213,0.174,0.448,0.572,0.069,11.0,1.0,11.0,1.0,,,
123,Mackenzie Hughes,35506,70.943,0.018,-0.395,0.376,-0.257,-0.263,0.275,-1.5,1.0,2.0,1.0,39.0,3.0,1.0
124,John Huh,34174,,,,,,,,,,,,,,
125,Sungjae Im,39971,69.922,1.113,0.481,0.234,0.887,0.158,0.226,-7.75,1.0,12.0,1.0,48.0,-7.0,1.0
126,Trevor Immelman,22378,,,,,,,,,,,,,,
127,Tony Jacklin,06306,,,,,,,,,,,,,,
128,Stephan Jaeger,36799,70.084,0.833,0.272,0.39,0.893,0.203,-0.06,,,,,,,
129,Richard Johnson,26420,,,,,,,,,,,,,,
130,Zach Johnson,24024,71.241,-0.428,-0.074,-0.02,-0.581,-0.336,0.154,-8.25,1.0,,,,,
131,Sung Kang,27974,,,,,,,,-2.0,1.0,,,,,
132,Smylie Kaufman,46440,,,,,,,,0.0,1.0,,,,,
133,Michael Kim,39975,70.854,0.26,-0.001,0.028,0.237,0.184,0.023,,,,,,,
134,S.H. Kim,50188,70.868,0.38,0.357,0.194,0.142,-0.481,0.238,,,,,,,
135,Si Woo Kim,37455,70.082,0.969,0.434,0.131,1.201,0.564,-0.232,-4.33,1.0,,,49.0,10.0,1.0
136,Tom Kim,55182,69.956,0.881,0.197,0.062,0.943,0.683,-0.062,,,,,,,
137,Chris Kirk,30926,70.376,0.876,-0.02,0.314,0.721,0.386,0.156,-3.8,1.0,,,12.0,4.0,1.0
138,Kevin Kisner,29478,,,,,,,,-2.12,1.0,6.0,1.0,30.0,0.0,1.0
139,Kurt Kitayama,48117,70.562,0.263,-0.038,0.123,0.283,0.212,-0.02,-6.0,1.0,,,31.0,-6.0,1.0
140,Patton Kizzire,32757,71.448,-0.473,-0.302,-0.002,-0.381,-0.03,-0.093,-6.0,1.0,,,,,
141,Philip Knowles,54813,,,,,,,,,,,,,,
142,Russell Knox,33122,71.46,-0.405,-0.6,-0.003,-0.083,0.494,-0.322,-6.0,1.0,,,,,
143,Satoshi Kodaira,32816,,,,,,,,,,,,,,
144,Kelly Kraft,35879,71.862,-0.89,-0.297,-0.305,-1.202,-0.602,0.312,,,,,,,
145,Matt Kuchar,23108,70.459,0.514,-0.016,0.381,0.396,0.008,0.118,-4.17,1.0,13.0,1.0,40.0,-2.0,1.0
146,Peter Kuest,58696,,,,,,,,,,,,,,
147,Martin Laird,27936,71.382,-0.324,-0.265,0.078,-0.19,-0.136,-0.134,-6.0,1.0,,,,,
148,Andrew Landry,33410,72.653,-1.535,-0.231,-0.206,-1.558,-0.964,0.023,6.5,1.0,21.0,1.0,,,
149,Nate Lashley,28775,70.825,0.334,-0.113,0.047,0.239,0.221,0.095,3.0,1.0,,,,,
150,Hank Lebioda,49766,72.452,-1.482,-0.505,-0.374,-1.141,-0.204,-0.341,,,,,,,
151,K.H. Lee,32791,70.667,0.3,-0.001,0.237,0.296,-0.013,0.004,,,,,,,
152,Min Woo Lee,37378,,,,,,,,,,,,,,
153,Ian Leggatt,10565,,,,,,,,,,,,,,
154,Justin Leonard,10860,,,,,,,,,,,,,,
155,Nicholas Lindheim,37278,,,,,,,,,,,,,,
156,David Lingmerth,34409,71.405,-0.581,-0.534,-0.067,-0.632,-0.018,0.051,1.0,1.0,,,,,
157,David Lipsky,36326,71.109,-0.205,-0.102,0.057,0.255,0.261,-0.459,,,,,,,
158,Luke List,27129,71.333,-0.208,0.558,-0.255,0.618,0.335,-0.826,-3.67,1.0,,,36.0,4.0,1.0
159,Adam Long,35449,71.397,-0.152,-0.225,0.174,-0.532,-0.479,0.38,6.0,1.0,12.0,1.0,,,
160,Davis Love III,01706,,,,,,,,,,,,,,
161,Justin Lower,40162,71.286,0.008,-0.192,-0.229,-0.462,0.002,0.471,,,,,,,
162,Shane Lowry,33204,70.132,0.822,0.367,0.082,0.937,0.436,-0.114,-8.67,1.0,,,50.0,-8.0,1.0
163,Will MacKenzie,24912,,,,,,,,,,,,,,
164,Hunter Mahan,24781,,,,,,,,-7.0,1.0,,,,,
165,Peter Malnati,34466,71.538,-0.222,-0.553,0.277,-0.685,-0.218,0.463,,,,,,,
166,Ben Martin,33413,70.857,0.045,-0.007,-0.331,0.123,0.426,-0.077,9.5,1.0,,,,,
167,Shigeki Maruyama,12680,,,,,,,,,,,,,,
168,Hideki Matsuyama,32839,70.141,0.933,0.122,0.319,1.064,0.625,-0.131,-8.88,1.0,-2.0,1.0,20.0,-2.0,1.0
169,Troy Matteson,27120,,,,,,,,,,,,,,
170,Brandon Matthews,51491,72.951,-2.019,0.178,-0.905,-0.941,-0.033,-1.077,,,,,,,
171,Denny McCarthy,47993,69.935,0.995,0.002,0.099,0.243,0.047,0.751,-4.0,1.0,,,17.0,-4.0,1.0
172,Tyler McCumber,40042,,,,,,,,,,,,,,
173,William McGirt,31202,,,,,,,,-4.5,1.0,,,,,
174,Jim McGovern,06090,,,,,,,,,,,,,,
175,Max McGreevy,51950,72.591,-1.695,-0.339,0.055,-1.207,-0.905,-0.488,,,,,,,
176,Rory McIlroy,28237,68.808,2.209,1.075,0.315,2.11,0.854,0.099,-9.5,1.0,3.0,1.0,46.0,-9.0,1.0
177,Parker McLachlin,24449,,,,,,,,,,,,,,
178,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,1.0,1.0,8.0,1.0,42.0,-3.0,1.0
179,George McNeill,24490,,,,,,,,-11.0,1.0,,,,,
180,John Merrick,27933,,,,,,,,,,,,,,
181,Troy Merritt,32640,71.802,-0.696,-0.205,0.134,-0.05,-0.059,-0.646,-0.33,1.0,,,59.0,3.0,1.0
182,Shaun Micheel,06515,,,,,,,,,,,,,,
183,Johnny Miller,01815,,,,,,,,,,,,,,
184,Keith Mitchell,39546,70.485,0.667,0.842,-0.006,0.565,-0.125,0.102,-4.0,1.0,,,33.0,-3.0,1.0
185,Francesco Molinari,25198,71.887,-0.552,-0.284,-0.215,-0.444,-0.083,-0.108,-9.67,1.0,,,,,
186,Taylor Montgomery,55789,70.505,0.426,-0.104,0.257,-0.459,-0.523,0.884,,,,,,,
187,Ryan Moore,26596,71.493,-0.087,-0.233,-0.201,0.035,0.453,-0.121,-4.75,1.0,,,,,
188,Taylor Moore,49947,70.293,0.833,0.2,0.016,0.248,0.095,0.585,-1.0,1.0,,,60.0,-1.0,1.0
189,Collin Morikawa,50525,69.642,1.549,0.459,0.058,1.605,1.025,-0.056,-0.75,1.0,5.0,1.0,13.0,-1.0,1.0
190,Trey Mullinax,46601,71.777,-0.547,-0.041,-0.084,-0.24,-0.003,-0.308,-8.0,1.0,,,61.0,-8.0,1.0
191,Grayson Murray,34213,,,,,,,,-4.0,1.0,,,,,
192,Matt NeSmith,36871,71.023,-0.032,-0.064,-0.011,0.209,0.157,-0.241,,,,,,,
193,Jack Nicklaus,01869,,,,,,,,,,,,,,
194,S.Y. Noh,29289,71.517,-0.694,-0.473,-0.103,-1.095,-0.42,0.401,,,,,,,
195,Alex Noren,27349,70.595,0.566,-0.361,0.368,0.048,0.059,0.519,,,,,,,
196,Henrik Norlander,30163,71.601,-0.781,-0.131,0.005,-0.258,-0.088,-0.523,,,,,,,
197,Vincent Norrman,51070,70.757,0.286,0.373,0.039,0.589,0.017,-0.302,,,,,,,
198,Andrew Novak,51997,70.819,0.592,-0.031,0.159,0.309,0.096,0.284,,,,,,,
199,Augusto Núñez,36724,71.772,-0.71,-0.033,-0.027,-0.217,-0.243,-0.494,,,,,,,
200,Sean O'Hair,24140,71.586,-0.445,-0.127,0.071,-0.359,-0.32,-0.085,-4.0,1.0,,,,,
201,Arron Oberholser,20628,,,,,,,,,,,,,,
202,Joe Ogilvie,21949,,,,,,,,,,,,,,
203,Geoff Ogilvy,22046,,,,,,,,,,,,,,
204,Ryan Palmer,23320,71.005,0.099,0.242,-0.117,0.587,0.275,-0.487,-3.5,1.0,8.0,1.0,,,
205,C.T. Pan,29908,,,,,,,,-7.5,1.0,,,,,
206,Taylor Pendrith,40250,71.211,0.078,0.294,-0.142,0.092,-0.09,-0.014,-9.0,1.0,,,62.0,-9.0,1.0
207,Cameron Percy,22056,71.429,0.162,0.082,0.001,0.164,-0.015,-0.002,,,,,,,
208,Scott Piercy,25818,71.156,-0.053,-0.175,-0.002,-0.045,0.093,-0.007,-8.25,1.0,,,,,
209,Gary Player,01955,,,,,,,,,,,,,,
210,D.A. Points,25240,,,,,,,,,,,,,,
211,J.T. Poston,49771,70.313,0.539,-0.1,0.038,0.21,0.197,0.329,-0.33,1.0,13.0,1.0,24.0,-2.0,1.0
212,"Ted Potter, Jr.",27556,,,,,,,,,,,,,,
213,Seamus Power,28252,70.678,0.223,0.027,0.148,-0.2,-0.208,0.423,7.0,1.0,,,51.0,7.0,1.0
214,Ted Purdy,21959,,,,,,,,,,,,,,
215,Andrew Putnam,34256,70.061,0.776,-0.467,0.143,0.131,0.42,0.645,-8.0,1.0,,,2.0,-5.0,1.0
216,Jon Rahm,46970,68.811,2.063,0.5,0.153,1.612,0.901,0.451,-12.17,1.0,-4.0,1.0,25.0,-9.0,1.0
217,Aaron Rai,46414,70.454,0.594,0.236,0.128,0.842,0.304,-0.248,,,,,,,
218,Chad Ramey,47983,71.465,-0.177,-0.115,-0.014,-0.498,-0.323,0.321,,,,,,,
219,Chez Reavie,26476,71.308,-0.018,-0.245,-0.205,0.019,0.401,-0.037,-4.75,1.0,,,14.0,2.0,1.0
220,Doc Redman,53165,71.422,-0.389,-0.075,-0.341,-0.523,-0.245,0.134,,,,,,,
221,Davis Riley,47995,71.056,-0.12,-0.03,-0.3,-0.013,0.38,-0.107,2.0,1.0,,,18.0,2.0,1.0
222,Patrick Rodgers,36699,70.258,0.609,0.229,0.182,0.407,-0.102,0.202,,,,,,,
223,Chi Chi Rodriguez,02015,,,,,,,,,,,,,,
224,John Rollins,22913,,,,,,,,,,,,,,
225,Justin Rose,22405,69.697,1.259,-0.078,0.29,0.877,0.57,0.382,-11.8,1.0,,,,,
226,Kevin Roy,39335,71.446,-0.22,-0.121,-0.185,0.208,0.566,-0.428,,,,,,,
227,Sam Ryder,37275,70.612,0.468,-0.415,-0.122,-0.118,0.439,0.587,,,,,,,
228,Rory Sabbatini,23621,,,,,,,,-3.0,1.0,,,,,
229,Xander Schauffele,48081,69.273,1.766,0.238,0.057,1.116,0.842,0.651,-8.2,1.0,6.0,1.0,,,
230,Scottie Scheffler,46046,68.598,2.465,1.034,0.412,2.69,1.258,-0.225,-6.67,1.0,5.0,1.0,52.0,-11.0,1.0
231,Adam Schenk,47347,70.432,0.769,0.012,0.042,0.36,0.237,0.409,,,,,,,
232,Matti Schmid,48867,72.028,-0.223,0.193,-0.428,-0.428,-0.173,0.205,,,,,,,
233,Matthias Schwab,34610,71.906,-1.079,-0.354,0.233,-0.704,-0.426,-0.375,,,,,,,
234,Adam Scott,24502,70.201,0.927,0.532,0.191,0.465,-0.068,0.462,-6.8,1.0,6.0,1.0,3.0,-10.0,1.0
235,Robby Shelton,46441,71.059,-0.047,-0.278,0.272,0.026,0.105,-0.073,13.0,1.0,13.0,1.0,,,
236,Greyson Sigg,51890,70.813,0.271,-0.005,0.069,0.286,0.121,-0.014,,,,,,,
237,Webb Simpson,29221,71.201,-0.273,-0.333,-0.055,-0.191,0.15,-0.083,-10.6,1.0,,,,,
238,Vijay Singh,06567,,,,,,,,,,,,,,
239,Heath Slocum,22293,,,,,,,,,,,,,,
240,Alex Smalley,46340,70.552,0.418,0.227,0.059,0.754,0.386,-0.336,-1.0,1.0,,,4.0,-1.0,1.0
241,Chris Smith,02106,,,,,,,,,,,,,,
242,Austin Smotherman,50095,71.462,-0.412,0.039,-0.27,-0.469,-0.125,0.057,,,,,,,
243,Brandt Snedeker,27649,,,,,,,,-4.25,1.0,,,,,
244,J.J. Spaun,39324,70.533,0.44,0.26,0.141,0.649,0.139,-0.21,-5.0,1.0,,,26.0,-5.0,1.0
245,Jordan Spieth,34046,70.02,0.991,0.276,0.267,0.856,0.313,0.135,-8.86,1.0,,,27.0,-6.0,1.0
246,Mike Springer,02131,,,,,,,,,,,,,,
247,Kevin Stadler,26679,,,,,,,,,,,,,,
248,Scott Stallings,30692,71.478,-0.516,0.027,0.146,-0.077,-0.269,-0.439,-13.0,1.0,,,53.0,-13.0,1.0
249,Kyle Stanley,30110,,,,,,,,-5.0,1.0,,,,,
250,Sam Stevens,55893,70.703,0.222,0.438,-0.001,0.43,-0.074,-0.209,,,,,,,
251,Sepp Straka,49960,70.648,0.536,0.017,-0.125,0.389,0.567,0.146,-4.0,1.0,,,54.0,-4.0,1.0
252,Robert Streb,34431,71.755,-0.724,-0.086,0.081,-0.277,-0.349,-0.447,-5.0,1.0,,,,,
253,Kevin Streelman,27214,70.929,0.311,-0.065,0.198,0.398,0.129,-0.087,0.67,1.0,11.0,1.0,,,
254,Chris Stroud,27963,71.343,-0.143,-0.317,-0.071,-0.151,0.191,0.008,,,,,,,
255,Brian Stuard,31560,72.236,-0.832,-1.085,0.158,-1.023,-0.232,0.191,0.0,1.0,,,,,
256,Justin Suh,50493,70.74,0.137,-0.048,-0.389,-0.498,-0.027,0.635,,,,,,,
257,Adam Svensson,40115,70.631,0.637,0.057,0.103,0.328,0.266,0.309,,,,,,,
258,Callum Tarren,48699,71.327,-0.26,0.201,-0.303,-0.079,0.152,-0.181,,,,,,,
259,Phil Tataurangi,12663,,,,,,,,,,,,,,
260,Ben Taylor,48119,71.161,-0.051,-0.293,-0.015,-0.463,-0.049,0.412,,,,,,,
261,Nick Taylor,25493,70.24,0.929,-0.088,0.119,0.59,0.521,0.339,11.0,1.0,11.0,1.0,,,
262,Vaughn Taylor,23325,,,,,,,,-7.5,1.0,,,,,
263,Sahith Theegala,51634,70.358,0.604,-0.06,0.209,0.163,0.095,0.441,-7.0,1.0,,,55.0,-7.0,1.0
264,Justin Thomas,33448,70.598,0.711,0.212,0.411,0.933,0.327,-0.222,-8.5,1.0,6.0,1.0,28.0,1.0,1.0
265,Davis Thompson,58168,70.916,0.086,0.447,0.082,0.218,-0.302,-0.133,,,,,,,
266,Michael Thompson,32150,71.381,0.131,0.072,-0.026,-0.054,-0.165,0.186,13.0,1.0,13.0,1.0,,,
267,Brendon Todd,30927,70.378,0.777,-0.458,0.441,0.258,0.183,0.519,-4.0,1.0,1.0,1.0,,,
268,D.J. Trahan,23788,,,,,,,,,,,,,,
269,Martin Trainer,35617,72.37,-1.366,-0.442,-0.136,-1.173,-0.51,-0.194,,,,,,,
270,Lee Trevino,02213,,,,,,,,,,,,,,
271,Marc Turnesa,26668,,,,,,,,,,,,,,
272,Kevin Tway,32333,71.191,-0.195,-0.032,-0.132,-0.315,-0.23,0.12,-8.0,1.0,,,,,
273,Omar Uresti,08385,,,,,,,,,,,,,,
274,Bo Van Pelt,23623,,,,,,,,,,,,,,
275,Erik van Rooyen,40006,71.67,-0.874,0.035,-0.401,-0.677,-0.177,-0.197,-21.0,1.0,,,,,
276,Jhonattan Vegas,27064,,,,,,,,-5.33,1.0,,,,,
277,Camilo Villegas,27770,,,,,,,,,,,,,,
278,Lanny Wadkins,02242,,,,,,,,,,,,,,
279,Johnson Wagner,26951,,,,,,,,,,,,,,
280,Grant Waite,02245,,,,,,,,,,,,,,
281,Jimmy Walker,25632,71.343,-0.214,-0.199,0.093,-0.296,-0.081,0.083,-8.0,1.0,,,,,
282,Matt Wallace,48887,71.008,-0.123,-0.312,0.293,0.01,0.246,-0.133,,,,,,,
283,Nick Watney,27095,72.665,-1.72,-1.37,-0.177,-1.667,-0.1,-0.053,-10.0,1.0,,,,,
284,Boo Weekley,26289,,,,,,,,,,,,,,
285,Trevor Werbylo,58967,72.05,-0.953,-0.185,0.085,-0.944,-0.751,-0.009,,,,,,,
