,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
81,Ryan Gerard,59018,71.21,-0.036,-0.239,0.103,0.295,0.237,-0.33,,,,,,,
82,Doug Ghim,52375,71.076,0.169,0.044,0.075,0.246,0.047,-0.078,-6.67,0.67,-6.67,0.67,474.0,-7.0,1.0
83,Michael Gligic,32662,72.821,-1.445,0.232,-0.532,-1.085,-0.608,-0.36,-7.33,1.0,-7.33,1.0,517.0,-7.0,1.0
84,Lucas Glover,25900,71.364,0.149,0.232,-0.048,0.644,0.492,-0.495,-1.67,0.33,-1.67,0.33,514.0,5.0,0.0
85,Fabián Gómez,28679,,,,,,,,,,,,,,
86,Will Gordon,56762,70.872,0.099,0.477,-0.396,0.235,0.212,-0.136,2.0,0.0,2.0,0.0,,,
87,Jason Gore,22892,,,,,,,,,,,,,,
88,David Gossett,23338,,,,,,,,,,,,,,
89,Tano Goya,31577,71.447,-0.321,0.094,0.212,-0.113,-0.485,-0.209,,,,,,,
90,Brent Grant,51414,72.142,-1.362,0.784,-0.537,-0.489,-0.663,-0.873,,,,,,,
91,Nathan Green,23718,,,,,,,,,,,,,,
92,Ben Griffin,54591,70.342,0.611,-0.016,0.348,0.388,0.025,0.223,,,,,,,
93,Lanto Griffin,35310,,,,,,,,-1.0,0.0,-1.0,0.0,,,
94,Emiliano Grillo,31646,70.52,0.465,0.247,-0.233,0.422,0.333,0.043,-9.0,0.67,-9.0,0.67,483.0,-14.0,1.0
95,Bill Haas,24924,,,,,,,,-1.25,0.25,-1.25,0.25,449.0,3.0,0.0
96,Chesson Hadley,34563,71.265,-0.111,-0.185,-0.467,-0.474,0.208,0.362,-0.5,0.5,-0.5,0.5,461.0,-9.0,1.0
97,Adam Hadwin,33399,70.413,0.821,-0.087,0.09,0.404,0.41,0.417,-10.67,1.0,-10.67,1.0,439.0,-3.0,1.0
98,James Hahn,32448,71.689,-0.215,0.218,-0.274,0.099,0.096,-0.314,-4.5,0.5,-4.5,0.5,499.0,-13.0,1.0
99,Paul Haley II,35901,71.813,-0.828,-0.371,0.043,-0.723,-0.443,-0.105,,,,,,,
100,Harry Hall,57975,70.693,0.284,-0.279,0.241,-0.409,-0.326,0.693,,,,,,,
101,Nick Hardy,47988,70.815,0.063,0.125,-0.258,0.128,0.288,-0.066,1.0,1.0,1.0,1.0,525.0,1.0,1.0
102,Brian Harman,27644,70.014,0.756,0.261,0.022,0.384,0.037,0.372,-12.5,1.0,-12.5,1.0,,,
103,Scott Harrington,27554,72.075,-0.991,0.103,-0.22,-0.341,-0.329,-0.65,0.0,0.0,0.0,0.0,,,
104,Tyrrell Hatton,34363,69.302,2.087,0.602,0.14,1.389,0.62,0.699,,,,,,,
105,J.P. Hayes,08537,,,,,,,,,,,,,,
106,David Hearn,26758,,,,,,,,-0.5,0.5,-0.5,0.5,475.0,6.0,0.0
107,Russell Henley,34098,70.219,0.597,0.051,0.219,0.907,0.436,-0.31,-1.5,0.0,-1.5,0.0,,,
108,J.J. Henry,23353,,,,,,,,3.0,0.5,3.0,0.5,500.0,5.0,1.0
109,Lucas Herbert,39058,71.167,-0.464,0.303,-0.325,-0.696,-0.552,0.232,2.0,0.0,2.0,0.0,,,
110,Jim Herman,31557,72.12,-1.11,-0.036,-0.24,-0.71,-0.433,-0.4,,,,,,,
111,Kramer Hickok,49298,71.596,-0.427,0.04,-0.119,-0.156,-0.17,-0.271,-3.33,0.67,-3.33,0.67,510.0,6.0,0.0
112,Garrick Higgo,54421,71.102,0.075,0.509,-0.023,0.215,-0.267,-0.14,8.0,0.0,8.0,0.0,485.0,8.0,0.0
113,Harry Higgs,33597,71.604,-0.964,-0.466,0.093,-1.312,-0.833,0.348,2.33,0.0,2.33,0.0,490.0,2.0,0.0
114,Lee Hodges,54628,70.782,0.37,0.251,-0.123,0.315,0.101,0.055,-7.0,1.0,-7.0,1.0,515.0,-7.0,1.0
115,Charley Hoffman,12716,71.35,-0.291,0.043,-0.018,0.388,0.381,-0.679,3.0,0.0,3.0,0.0,,,
116,Tom Hoge,35532,70.67,0.433,-0.252,-0.136,0.397,0.831,0.036,-7.25,0.75,-7.25,0.75,558.0,-13.0,1.0
117,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
118,J.B. Holmes,27141,,,,,,,,,,,,,,
119,Max Homa,39977,69.638,1.67,0.187,0.239,1.049,0.571,0.62,-10.5,0.5,-10.5,0.5,,,
120,Billy Horschel,29420,71.462,-0.425,-0.353,-0.016,-0.626,-0.162,0.2,,,,,,,
121,Beau Hossler,35461,70.608,0.274,0.152,0.287,0.105,-0.466,0.169,-3.5,0.5,-3.5,0.5,452.0,3.0,0.0
122,Viktor Hovland,46717,69.419,1.42,0.702,0.016,1.315,0.546,0.105,-15.0,1.0,-15.0,1.0,,,
123,Mark Hubbard,36801,70.542,0.727,-0.166,0.179,0.62,0.602,0.107,-9.0,1.0,-9.0,1.0,,,
124,Mackenzie Hughes,35506,70.988,0.073,-0.35,0.296,-0.21,-0.157,0.283,-5.0,1.0,-5.0,1.0,,,
125,John Huh,34174,,,,,,,,3.0,0.0,3.0,0.0,501.0,3.0,0.0
126,Sungjae Im,39971,70.031,1.103,0.432,0.233,0.849,0.172,0.254,-14.0,1.0,-14.0,1.0,545.0,-14.0,1.0
127,Trevor Immelman,22378,,,,,,,,,,,,,,
128,Tony Jacklin,06306,,,,,,,,,,,,,,
129,Stephan Jaeger,36799,70.208,0.778,0.24,0.392,0.849,0.221,-0.071,0.5,0.5,0.5,0.5,546.0,6.0,0.0
130,Richard Johnson,26420,,,,,,,,,,,,,,
131,Zach Johnson,24024,71.285,-0.449,-0.043,-0.039,-0.629,-0.376,0.181,,,,,,,
132,Sung Kang,27974,72.412,-0.699,-0.451,-0.047,-0.737,-0.082,0.038,4.0,0.33,4.0,0.33,547.0,7.0,0.0
133,Smylie Kaufman,46440,,,,,,,,5.0,0.0,5.0,0.0,,,
134,Michael Kim,39975,70.947,0.215,-0.031,0.031,0.157,0.11,0.058,-1.0,0.33,-1.0,0.33,,,
135,S.H. Kim,50188,70.9,0.386,0.397,0.215,0.185,-0.454,0.201,,,,,,,
