,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
83,Michael Gligic,32662,72.611,-1.222,0.355,-0.508,-0.859,-0.51,-0.363,-3.0,0.5,-3.0,0.5,1073.0,-6.0,1.0,
84,Lucas Glover,25900,71.855,-0.441,0.168,-0.039,0.343,0.253,-0.783,-0.75,0.5,-0.75,0.5,1069.0,5.0,1.0,
85,Fabián Gómez,28679,,,,,,,,,,,,,,,
86,Will Gordon,56762,70.665,0.374,0.51,-0.384,0.407,0.313,-0.033,-4.0,1.0,-4.0,1.0,,,,
87,Jason Gore,22892,,,,,,,,,,,,,,,
88,David Gossett,23338,,,,,,,,,,,,,,,
89,Tano Goya,31577,71.449,-0.443,0.09,0.15,-0.184,-0.458,-0.258,,,,,,,,
90,Brent Grant,51414,72.042,-1.286,0.688,-0.535,-0.484,-0.541,-0.802,,,,,,,,
91,Nathan Green,23718,,,,,,,,,,,,,,,
92,Ben Griffin,54591,70.354,0.612,-0.005,0.358,0.371,-0.009,0.241,,,,,,,,
93,Lanto Griffin,35310,,,,,,,,-3.5,0.75,-3.5,0.75,1070.0,1.0,0.0,
94,Emiliano Grillo,31646,70.756,0.393,0.243,-0.233,0.397,0.31,-0.004,-2.5,0.67,-2.5,0.67,1036.0,1.0,0.0,
95,Bill Haas,24924,71.944,-1.202,0.076,0.065,-1.021,-1.096,-0.181,-4.0,0.5,-4.0,0.5,1004.0,-8.0,1.0,
96,Chesson Hadley,34563,71.36,-0.195,-0.159,-0.571,-0.377,0.371,0.182,-1.8,0.2,-1.8,0.2,1018.0,-14.0,1.0,
97,Adam Hadwin,33399,70.48,0.702,-0.024,0.059,0.385,0.362,0.317,-0.2,0.4,-0.2,0.4,,,,
98,James Hahn,32448,71.719,-0.189,0.215,-0.201,0.122,0.102,-0.311,0.75,0.25,0.75,0.25,1049.0,7.0,0.0,
99,Paul Haley II,35901,71.61,-0.645,-0.378,0.092,-0.714,-0.446,0.069,,,,,,,,
100,Harry Hall,57975,70.664,0.44,-0.231,0.341,-0.263,-0.39,0.703,,,,,,,,
101,Nick Hardy,47988,70.918,-0.056,0.145,-0.326,0.208,0.402,-0.264,-6.0,1.0,-6.0,1.0,1086.0,-11.0,1.0,
102,Brian Harman,27644,70.592,0.385,0.287,-0.063,0.197,-0.089,0.188,-6.71,0.71,-6.71,0.71,1006.0,-11.0,1.0,
103,Scott Harrington,27554,72.086,-1.165,0.027,-0.2,-0.491,-0.367,-0.674,1.5,0.0,1.5,0.0,,,,
104,Tyrrell Hatton,34363,69.393,2.091,0.634,0.108,1.361,0.606,0.73,-8.0,1.0,-8.0,1.0,,,,
105,J.P. Hayes,08537,,,,,,,,,,,,,,,
106,David Hearn,26758,,,,,,,,-0.67,0.67,-0.67,0.67,,,,
107,Russell Henley,34098,70.289,0.485,0.028,0.172,0.791,0.391,-0.306,-6.8,0.8,-6.8,0.8,,,,
108,J.J. Henry,23353,,,,,,,,0.57,0.29,0.57,0.29,1050.0,-1.0,0.0,
109,Lucas Herbert,39058,71.675,-0.852,0.224,-0.354,-0.847,-0.597,-0.005,-7.0,1.0,-7.0,1.0,,,,
110,Jim Herman,31557,72.152,-1.146,-0.089,-0.174,-0.701,-0.487,-0.445,-1.5,0.25,-1.5,0.25,1051.0,1.0,0.0,
111,Kramer Hickok,49298,71.448,-0.288,0.08,-0.043,0.067,-0.072,-0.355,-4.33,0.67,-4.33,0.67,1061.0,-1.0,0.0,
