,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
82,David Hearn,26758,,,,,,,,5.2,0.0,5.0,0.0,,,,
83,Russell Henley,34098,70.695,0.067,0.221,0.235,0.566,0.042,-0.499,5.75,0.5,7.5,0.5,1950.0,5.0,1.0,
84,J.J. Henry,23353,,,,,,,,5.2,0.4,5.25,0.25,,,,
85,Lucas Herbert,39058,72.083,-1.129,0.12,-0.2,-1.138,-0.937,0.01,6.0,0.0,6.0,0.0,,,,
86,Jim Herman,31557,71.999,-1.016,0.099,-0.148,-0.585,-0.543,-0.431,1.5,0.25,2.25,0.5,1901.0,1.0,0.0,500000.0
87,Kramer Hickok,49298,71.548,-0.31,0.132,-0.074,-0.152,-0.221,-0.157,3.0,0.67,3.0,1.0,1910.0,3.0,0.0,283333.0
88,Garrick Higgo,54421,71.223,-0.048,0.281,0.107,0.229,-0.133,-0.277,,,,,,,,500000.0
89,Harry Higgs,33597,71.434,-1.22,-0.691,0.127,-1.547,-0.988,0.326,2.0,0.0,3.0,0.0,1891.0,1.0,0.0,
90,Lee Hodges,54628,71.014,0.105,0.257,-0.206,0.102,0.032,0.003,4.0,0.0,,,1921.0,4.0,0.0,500000.0
91,Charley Hoffman,12716,71.477,-0.321,0.032,0.125,0.537,0.388,-0.858,2.0,0.0,5.0,1.0,1870.0,2.0,0.0,
92,Tom Hoge,35532,70.487,1.035,-0.067,-0.324,0.704,1.123,0.331,4.33,0.33,4.8,0.4,,,,
93,Nicolai Hojgaard,52453,,,,,,,,,,,,,,,
94,J.B. Holmes,27141,,,,,,,,4.67,0.5,5.17,0.5,,,,200000.0
95,Max Homa,39977,69.97,1.932,0.152,0.3,1.288,0.815,0.644,-0.8,0.4,-1.0,0.33,1926.0,-8.0,1.0,5150.0
96,Billy Horschel,29420,71.801,-0.319,-0.568,0.189,-0.413,-0.037,0.094,,,5.0,1.0,,,,
97,Beau Hossler,35461,70.647,0.249,-0.013,0.268,0.007,-0.339,0.241,10.25,0.75,9.0,1.0,1860.0,14.0,0.0,76750.0
98,Viktor Hovland,46717,70.032,0.983,0.771,-0.237,1.15,0.691,-0.167,-8.0,1.0,-8.0,1.0,,,,15000.0
99,Mark Hubbard,36801,70.8,0.55,-0.073,0.246,0.526,0.397,0.025,5.8,0.2,7.0,0.33,1927.0,5.0,0.0,225000.0
100,Mackenzie Hughes,35506,70.969,0.283,-0.347,0.308,-0.161,-0.109,0.444,3.83,0.5,7.0,0.2,1928.0,-2.0,1.0,500000.0
101,John Huh,34174,71.944,-1.831,-0.602,0.046,-1.542,-0.986,-0.289,4.33,0.0,3.5,0.0,1902.0,6.0,0.0,
102,Sungjae Im,39971,69.921,1.475,0.626,0.373,1.307,0.288,0.168,3.0,0.5,3.0,0.5,,,,500.0
103,Stephan Jaeger,36799,70.362,0.663,0.157,0.442,0.766,0.173,-0.103,5.0,0.33,9.0,0.0,1959.0,-3.0,1.0,175000.0
104,Richard Johnson,26420,,,,,,,,,,,,,,,
105,Zach Johnson,24024,71.33,-0.428,-0.131,-0.16,-0.701,-0.394,0.273,1.25,0.5,3.33,0.67,1979.0,4.0,0.0,500000.0
106,Sung Kang,27974,72.868,-1.638,-0.512,-0.5,-1.556,-0.273,-0.082,6.8,0.0,6.2,0.2,1960.0,7.0,0.0,
107,Michael Kim,39975,71.327,-0.06,0.004,-0.08,-0.007,0.043,-0.053,11.0,0.5,11.0,0.5,,,,9625.0
108,S.H. Kim,50188,70.663,0.69,0.346,0.11,0.178,-0.283,0.512,,,,,,,,500000.0
109,Si Woo Kim,37455,70.415,0.875,0.306,0.07,0.896,0.507,-0.02,5.0,0.5,7.0,0.0,1961.0,4.0,1.0,175000.0
110,Tom Kim,55182,70.261,1.006,0.207,0.263,1.107,0.651,-0.101,,,,,,,,
111,Chris Kirk,30926,70.373,1.186,0.048,0.384,0.747,0.326,0.439,8.0,1.0,14.0,0.0,,,,102500.0
112,Kevin Kisner,29478,73.155,-1.975,-1.071,-0.149,-1.773,-0.536,-0.201,3.25,0.25,1.5,0.5,,,,
113,Kurt Kitayama,48117,70.679,0.506,-0.004,0.194,0.462,0.252,0.044,-1.0,1.0,,,1911.0,-1.0,1.0,500000.0
114,Patton Kizzire,32757,71.286,-0.344,-0.11,-0.048,-0.389,-0.254,0.045,4.75,0.75,4.67,0.67,,,,500000.0
115,Philip Knowles,54813,72.707,-2.303,-0.354,-0.426,-1.502,-0.722,-0.802,,,,,,,,
116,Russell Knox,33122,71.59,-0.56,-0.667,-0.11,-0.217,0.646,-0.343,1.67,1.0,3.33,0.67,1951.0,3.0,1.0,500000.0
117,Satoshi Kodaira,32816,71.398,-0.095,-0.11,-0.246,0.339,0.618,-0.434,1.5,0.5,1.0,1.0,1962.0,6.0,0.0,
118,Kelly Kraft,35879,72.247,-1.464,-0.371,-0.465,-1.888,-1.014,0.425,6.8,0.2,6.8,0.2,1912.0,7.0,1.0,500000.0
119,Matt Kuchar,23108,69.929,1.299,0.157,0.5,1.04,0.426,0.259,7.0,1.0,-1.0,1.0,1930.0,7.0,1.0,68125.0
120,Martin Laird,27936,71.758,-0.783,-0.355,0.031,-0.626,-0.299,-0.157,4.0,1.0,4.0,0.75,1931.0,11.0,1.0,500000.0
121,Andrew Landry,33410,72.381,-1.199,0.036,0.074,-1.068,-1.133,-0.131,7.0,0.0,7.0,0.0,,,,500000.0
122,Nate Lashley,28775,71.089,0.104,-0.049,0.04,0.097,0.055,0.006,2.25,0.25,3.0,0.33,1939.0,0.0,0.0,8800.0
123,Hank Lebioda,49766,72.147,-1.151,-0.533,-0.385,-1.004,0.076,-0.147,3.0,1.0,2.0,1.0,1892.0,5.0,1.0,
124,K.H. Lee,32791,70.693,0.615,0.019,0.33,0.534,0.174,0.082,,,,,,,,48375.0
125,Nicholas Lindheim,37278,,,,,,,,7.33,0.0,7.5,0.0,,,,
126,David Lingmerth,34409,71.247,-0.321,-0.411,-0.133,-0.374,0.17,0.053,2.0,0.75,5.0,0.67,1881.0,6.0,1.0,213333.0
127,David Lipsky,36326,71.309,-0.436,-0.133,0.279,0.36,0.211,-0.796,4.0,0.0,,,1882.0,4.0,0.0,500000.0
128,Luke List,27129,71.711,-0.375,0.684,-0.193,0.713,0.227,-1.088,0.67,0.83,1.4,0.6,1922.0,2.0,1.0,500000.0
129,Adam Long,35449,71.466,-0.218,-0.075,0.044,-0.483,-0.566,0.265,4.0,0.33,5.5,0.5,1848.0,1.0,0.0,500000.0
130,Davis Love III,01706,,,,,,,,8.67,0.0,10.67,0.0,,,,
131,Justin Lower,40162,71.525,-0.24,-0.241,-0.186,-0.676,-0.3,0.436,,,,,,,,500000.0
132,Shane Lowry,33204,70.742,0.372,0.399,-0.022,0.982,0.544,-0.61,2.0,0.75,4.0,0.75,,,,500000.0
133,Peter Malnati,34466,71.521,-0.143,-0.54,0.313,-0.675,-0.28,0.532,4.17,0.5,3.0,0.5,1943.0,8.0,1.0,150000.0
134,Ben Martin,33413,70.66,0.471,0.011,-0.281,0.38,0.694,0.092,1.83,0.67,1.75,0.5,1861.0,8.0,1.0,500000.0
135,Hideki Matsuyama,32839,70.545,0.961,0.124,0.407,0.813,0.282,0.148,-0.25,0.75,-1.2,0.8,,,,
136,Brandon Matthews,51491,72.506,-1.462,0.288,-0.984,-0.847,-0.084,-0.616,,,,,,,,
