,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
101,Brian Harman,27644,70.014,0.756,0.261,0.022,0.384,0.037,0.372,-5.33,0.5,-3.0,0.67,188.0,-2.0,1.0
102,Scott Harrington,27554,71.979,-0.908,0.153,-0.167,-0.181,-0.315,-0.726,4.0,0.0,,,,,
103,Tyrrell Hatton,34363,69.302,2.087,0.602,0.14,1.389,0.62,0.699,-6.0,0.5,-1.5,1.0,293.0,-11.0,1.0
104,J.P. Hayes,08537,,,,,,,,,,,,,,
105,David Hearn,26758,,,,,,,,-3.5,0.5,-1.0,0.75,,,
106,Russell Henley,34098,69.978,0.824,0.092,0.208,0.948,0.466,-0.124,-10.67,0.83,0.0,0.33,271.0,-13.0,1.0
107,J.J. Henry,23353,,,,,,,,-0.6,0.2,3.75,0.0,,,
108,Lucas Herbert,39058,71.167,-0.464,0.303,-0.325,-0.696,-0.552,0.232,,,0.33,0.67,,,
109,Jim Herman,31557,72.23,-1.309,-0.002,-0.318,-0.772,-0.444,-0.538,-7.75,0.5,0.0,1.0,232.0,1.0,0.0
110,Kramer Hickok,49298,71.488,-0.347,0.017,-0.087,-0.109,-0.158,-0.238,-2.0,0.5,1.0,0.0,241.0,-2.0,1.0
111,Garrick Higgo,54421,70.989,0.166,0.501,-0.027,0.204,-0.273,-0.037,4.0,0.0,-5.0,1.0,218.0,4.0,0.0
112,Harry Higgs,33597,71.732,-1.157,-0.436,0.001,-1.461,-0.885,0.304,-6.67,0.67,,,222.0,-7.0,1.0
113,Lee Hodges,54628,70.587,0.592,0.256,-0.101,0.46,0.193,0.133,-6.0,1.0,-9.0,1.0,249.0,-6.0,1.0
114,Charley Hoffman,12716,71.115,-0.067,0.043,0.028,0.565,0.522,-0.632,-0.33,0.33,,,201.0,-3.0,1.0
115,Tom Hoge,35532,70.609,0.502,-0.27,-0.116,0.42,0.811,0.081,-3.86,0.43,0.0,0.4,,,
116,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
117,J.B. Holmes,27141,,,,,,,,-1.0,0.0,-1.0,1.0,,,
118,Max Homa,39977,69.638,1.67,0.187,0.239,1.049,0.571,0.62,9.5,0.0,2.33,0.83,,,
119,Billy Horschel,29420,70.997,0.047,-0.228,0.043,-0.3,-0.118,0.347,-11.29,0.86,-5.0,0.86,190.0,-8.0,1.0
120,Beau Hossler,35461,70.579,0.29,0.197,0.243,0.03,-0.539,0.26,-1.0,0.33,-2.0,1.0,,,
121,Viktor Hovland,46717,69.419,1.42,0.702,0.016,1.315,0.546,0.105,-19.0,1.0,0.5,1.0,,,
122,Mark Hubbard,36801,70.553,0.672,-0.158,0.158,0.577,0.605,0.095,-6.0,0.67,4.25,0.5,251.0,-4.0,1.0
123,Mackenzie Hughes,35506,70.932,0.096,-0.291,0.338,-0.125,-0.192,0.222,-5.0,0.75,-1.67,0.67,252.0,5.0,0.0
124,John Huh,34174,,,,,,,,-4.83,0.67,3.5,0.5,233.0,-15.0,1.0
125,Sungjae Im,39971,69.981,1.098,0.455,0.249,0.856,0.149,0.242,-14.5,1.0,-4.33,1.0,281.0,-15.0,1.0
126,Trevor Immelman,22378,,,,,,,,-1.0,0.0,8.5,0.0,,,
127,Tony Jacklin,06306,,,,,,,,,,,,,,
128,Stephan Jaeger,36799,70.112,0.842,0.27,0.394,0.913,0.221,-0.071,-5.0,0.67,0.5,0.5,282.0,-10.0,1.0
129,Richard Johnson,26420,,,,,,,,,,,,,,
130,Zach Johnson,24024,71.241,-0.428,-0.074,-0.02,-0.581,-0.336,0.154,-8.0,0.75,,,301.0,-7.0,1.0
131,Sung Kang,27974,,,,,,,,-3.8,0.6,4.2,0.4,283.0,1.0,0.0
132,Smylie Kaufman,46440,,,,,,,,0.0,0.0,9.5,0.0,,,
133,Michael Kim,39975,70.854,0.26,-0.001,0.028,0.237,0.184,0.023,3.0,0.6,-4.5,1.0,,,
134,S.H. Kim,50188,70.868,0.38,0.357,0.194,0.142,-0.481,0.238,,,,,,,
135,Si Woo Kim,37455,70.129,0.974,0.425,0.14,1.178,0.551,-0.204,-12.4,0.8,3.67,0.67,,,
136,Tom Kim,55182,69.974,0.914,0.22,0.057,0.997,0.739,-0.082,,,,,,,
137,Chris Kirk,30926,70.441,0.876,-0.031,0.337,0.69,0.378,0.186,-9.25,1.0,-0.67,0.33,,,
138,Kevin Kisner,29478,,,,,,,,-13.25,1.0,-1.75,1.0,,,
139,Kurt Kitayama,48117,70.542,0.359,-0.005,0.131,0.345,0.239,0.014,,,-1.0,0.0,,,
140,Patton Kizzire,32757,71.448,-0.473,-0.302,-0.002,-0.381,-0.03,-0.093,-6.17,0.67,1.5,0.0,263.0,0.0,0.0
141,Philip Knowles,54813,,,,,,,,,,,,,,
142,Russell Knox,33122,71.46,-0.405,-0.6,-0.003,-0.083,0.494,-0.322,-7.0,0.83,-2.67,0.67,272.0,-9.0,1.0
143,Satoshi Kodaira,32816,71.418,-0.086,-0.236,0.096,0.2,0.269,-0.286,-0.5,0.25,,,284.0,-7.0,1.0
144,Kelly Kraft,35879,71.862,-0.89,-0.297,-0.305,-1.202,-0.602,0.312,-3.0,0.67,7.5,0.5,242.0,-5.0,1.0
145,Matt Kuchar,23108,70.411,0.624,-0.025,0.425,0.487,0.051,0.137,-10.0,1.0,-1.0,0.67,,,
146,Peter Kuest,58696,,,,,,,,,,,,,,
147,Martin Laird,27936,71.382,-0.324,-0.265,0.078,-0.19,-0.136,-0.134,-4.14,0.57,1.25,0.75,253.0,-6.0,1.0
148,Andrew Landry,33410,72.653,-1.535,-0.231,-0.206,-1.558,-0.964,0.023,-6.0,0.8,-1.5,1.0,178.0,2.0,0.0
149,Nate Lashley,28775,70.825,0.334,-0.113,0.047,0.239,0.221,0.095,5.0,1.0,-3.5,1.0,,,
150,Hank Lebioda,49766,72.452,-1.482,-0.505,-0.374,-1.141,-0.204,-0.341,-3.0,0.25,,,223.0,1.0,0.0
151,K.H. Lee,32791,70.667,0.3,-0.001,0.237,0.296,-0.013,0.004,,,,,,,
152,Min Woo Lee,37378,,,,,,,,,,8.0,1.0,,,
153,Ian Leggatt,10565,,,,,,,,,,,,,,
154,Justin Leonard,10860,,,,,,,,,,,,,,
155,Nicholas Lindheim,37278,,,,,,,,0.67,0.0,4.0,0.5,,,
156,David Lingmerth,34409,71.405,-0.581,-0.534,-0.067,-0.632,-0.018,0.051,-3.0,0.33,1.0,0.0,209.0,0.0,0.0
157,David Lipsky,36326,71.109,-0.205,-0.102,0.057,0.255,0.261,-0.459,-8.0,1.0,-4.0,1.0,210.0,-8.0,1.0
158,Luke List,27129,71.333,-0.208,0.558,-0.255,0.618,0.335,-0.826,-2.25,0.25,-0.25,0.75,,,
159,Adam Long,35449,71.397,-0.152,-0.225,0.174,-0.532,-0.479,0.38,-2.33,0.33,0.5,0.5,,,
160,Davis Love III,01706,,,,,,,,-6.8,0.6,3.5,0.0,211.0,4.0,0.0
161,Justin Lower,40162,71.286,0.008,-0.192,-0.229,-0.462,0.002,0.471,,,,,,,
162,Shane Lowry,33204,70.132,0.822,0.367,0.082,0.937,0.436,-0.114,-6.6,0.8,-5.5,1.0,285.0,4.0,1.0
163,Will MacKenzie,24912,,,,,,,,0.0,0.0,2.0,0.67,,,
164,Hunter Mahan,24781,,,,,,,,-1.75,0.25,1.0,0.0,,,
165,Peter Malnati,34466,71.538,-0.222,-0.553,0.277,-0.685,-0.218,0.463,-6.29,0.71,0.5,0.25,264.0,-8.0,1.0
166,Ben Martin,33413,70.857,0.045,-0.007,-0.331,0.123,0.426,-0.077,-2.0,0.5,3.33,0.33,191.0,1.0,0.0
167,Shigeki Maruyama,12680,,,,,,,,,,,,,,
168,Hideki Matsuyama,32839,70.193,0.936,0.144,0.297,1.078,0.638,-0.142,-7.2,0.4,-7.33,1.0,,,
169,Troy Matteson,27120,,,,,,,,,,,,,,
170,Brandon Matthews,51491,72.951,-2.019,0.178,-0.905,-0.941,-0.033,-1.077,,,,,,,
171,Denny McCarthy,47993,69.825,1.169,0.014,0.122,0.307,0.048,0.862,-9.6,0.8,-6.5,1.0,212.0,3.0,0.0
172,Tyler McCumber,40042,,,,,,,,-3.0,0.5,,,,,
173,William McGirt,31202,,,,,,,,-3.0,0.4,3.0,0.33,299.0,1.0,0.0
174,Jim McGovern,06090,,,,,,,,,,,,,,
175,Max McGreevy,51950,72.591,-1.695,-0.339,0.055,-1.207,-0.905,-0.488,,,,,,,
176,Rory McIlroy,28237,68.88,2.215,1.073,0.373,2.138,0.832,0.077,,,-5.75,0.75,,,
177,Parker McLachlin,24449,,,,,,,,2.0,0.0,2.0,1.0,,,
178,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,4.0,0.0,-6.0,1.0,,,
179,George McNeill,24490,,,,,,,,-3.5,0.5,1.25,0.25,,,
180,John Merrick,27933,,,,,,,,2.5,0.0,1.75,0.5,,,
181,Troy Merritt,32640,71.802,-0.696,-0.205,0.134,-0.05,-0.059,-0.646,-4.0,0.75,-0.2,0.6,,,
182,Shaun Micheel,06515,,,,,,,,,,5.5,0.0,,,
183,Johnny Miller,01815,,,,,,,,,,,,,,
184,Keith Mitchell,39546,70.491,0.728,0.827,-0.03,0.584,-0.092,0.144,-4.5,0.75,-3.33,1.0,244.0,-5.0,1.0
185,Francesco Molinari,25198,71.887,-0.552,-0.284,-0.215,-0.444,-0.083,-0.108,0.0,0.0,-2.0,1.0,,,
