,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
119,Max Homa,39977,69.741,1.684,0.157,0.18,0.986,0.614,0.698,-11.0,1.0,-11.0,1.0,379.0,-12.0,1.0
120,Billy Horschel,29420,71.559,-0.447,-0.339,-0.011,-0.599,-0.126,0.152,-14.0,1.0,-14.0,1.0,,,
121,Beau Hossler,35461,70.607,0.23,0.135,0.367,0.068,-0.575,0.162,-4.0,0.5,-4.0,0.5,316.0,-5.0,1.0
122,Viktor Hovland,46717,69.482,1.448,0.736,-0.035,1.326,0.567,0.122,-14.5,1.0,-14.5,1.0,,,
123,Mark Hubbard,36801,70.587,0.665,-0.133,0.174,0.665,0.633,0.001,-6.0,0.33,-6.0,0.33,380.0,-2.0,0.0
124,Mackenzie Hughes,35506,71.019,0.079,-0.337,0.247,-0.247,-0.15,0.326,-7.33,0.67,-7.33,0.67,381.0,4.0,0.0
125,John Huh,34174,,,,,,,,-7.0,1.0,-7.0,1.0,359.0,-7.0,1.0
126,Sungjae Im,39971,70.022,1.141,0.479,0.279,0.909,0.165,0.232,-12.33,1.0,-12.33,1.0,,,
127,Trevor Immelman,22378,,,,,,,,,,,,,,
128,Tony Jacklin,06306,,,,,,,,,,,,,,
129,Stephan Jaeger,36799,70.293,0.628,0.223,0.398,0.772,0.19,-0.143,-11.0,0.5,-11.0,0.5,410.0,-20.0,1.0
130,Richard Johnson,26420,,,,,,,,,,,,,,
131,Zach Johnson,24024,71.299,-0.546,-0.096,-0.048,-0.63,-0.32,0.085,-8.0,1.0,-8.0,1.0,435.0,-8.0,1.0
132,Sung Kang,27974,,,,,,,,-4.67,0.67,-4.67,0.67,411.0,-10.0,1.0
133,Smylie Kaufman,46440,,,,,,,,0.0,1.0,0.0,1.0,,,
134,Michael Kim,39975,70.931,0.26,0.054,0.009,0.195,0.103,0.065,3.67,0.0,3.67,0.0,,,
135,S.H. Kim,50188,70.806,0.496,0.407,0.126,0.137,-0.431,0.359,,,,,,,
136,Si Woo Kim,37455,70.129,0.979,0.391,0.124,1.125,0.567,-0.146,-6.5,0.75,-6.5,0.75,412.0,-15.0,1.0
137,Tom Kim,55182,70.143,0.899,0.229,0.062,1.057,0.755,-0.158,,,,,,,
138,Chris Kirk,30926,70.438,0.857,-0.037,0.376,0.664,0.299,0.193,-13.67,1.0,-13.67,1.0,327.0,-14.0,1.0
139,Kevin Kisner,29478,73.304,-2.261,-1.017,-0.3,-2.131,-0.82,-0.13,-10.75,0.75,-10.75,0.75,368.0,-1.0,0.0
