,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
228,Rory Sabbatini,23621,,,,,,,,-3.8,0.6,-3.8,0.6,968.0,-2.0,1.0
229,Xander Schauffele,48081,69.251,1.993,0.274,0.073,1.288,0.927,0.704,,,,,,,
230,Scottie Scheffler,46046,68.518,2.638,1.088,0.476,2.805,1.257,-0.167,,,,,,,
231,Adam Schenk,47347,70.512,0.7,0.015,0.1,0.346,0.182,0.354,-11.33,0.67,-11.33,0.67,,,
232,Matti Schmid,48867,72.42,-0.468,0.124,-0.543,-0.538,-0.086,0.07,,,,,,,
233,Matthias Schwab,34610,71.87,-1.062,-0.359,0.256,-0.803,-0.543,-0.259,-12.0,1.0,-12.0,1.0,948.0,-12.0,1.0
234,Adam Scott,24502,70.444,0.843,0.553,0.236,0.446,-0.122,0.396,,,,,,,
235,Robby Shelton,46441,70.953,0.14,-0.278,0.321,0.148,0.167,-0.008,-5.0,0.5,-5.0,0.5,,,
236,Greyson Sigg,51890,70.883,0.261,-0.05,0.077,0.271,0.136,-0.01,-12.0,1.0,-12.0,1.0,915.0,-12.0,1.0
237,Webb Simpson,29221,71.542,-0.551,-0.436,-0.17,-0.402,0.15,-0.148,-1.0,0.0,-1.0,0.0,991.0,-1.0,0.0
238,Vijay Singh,06567,,,,,,,,-12.0,1.0,-12.0,1.0,,,
239,Heath Slocum,22293,,,,,,,,,,,,,,
240,Alex Smalley,46340,70.581,0.493,0.241,0.025,0.755,0.371,-0.263,-10.0,1.0,-10.0,1.0,870.0,-12.0,1.0
241,Chris Smith,02106,,,,,,,,,,,,,,
242,Austin Smotherman,50095,71.488,-0.399,-0.018,-0.194,-0.412,-0.096,0.013,,,,,,,
243,Brandt Snedeker,27649,,,,,,,,4.0,0.0,4.0,0.0,880.0,4.0,0.0
244,J.J. Spaun,39324,70.677,0.4,0.252,0.168,0.617,0.142,-0.217,3.5,0.5,3.5,0.5,,,
245,Jordan Spieth,34046,70.119,1.044,0.261,0.201,0.913,0.417,0.13,-20.0,1.0,-20.0,1.0,,,
246,Mike Springer,02131,,,,,,,,,,,,,,
247,Kevin Stadler,26679,,,,,,,,4.0,0.0,4.0,0.0,936.0,7.0,0.0
248,Scott Stallings,30692,71.558,-0.487,0.097,0.117,-0.077,-0.306,-0.41,-10.83,0.83,-10.83,0.83,981.0,-17.0,1.0
249,Kyle Stanley,30110,,,,,,,,-8.17,0.83,-8.17,0.83,,,
250,Sam Stevens,55893,70.72,0.285,0.462,0.006,0.546,0.056,-0.261,,,,,,,
251,Sepp Straka,49960,70.893,0.536,0.007,-0.102,0.423,0.574,0.113,-5.5,0.5,-5.5,0.5,,,
252,Robert Streb,34431,72.017,-1.005,-0.181,0.13,-0.336,-0.473,-0.669,-2.14,0.14,-2.14,0.14,969.0,1.0,0.0
253,Kevin Streelman,27214,71.091,0.169,-0.077,0.14,0.199,0.05,-0.029,-6.8,0.6,-6.8,0.6,937.0,-9.0,1.0
