,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
110,Jim Herman,31557,72.047,-1.068,-0.037,-0.233,-0.672,-0.407,-0.396,5.0,1.0,,,,,
111,Kramer Hickok,49298,71.652,-0.55,0.036,-0.125,-0.205,-0.203,-0.345,,,,,,,
112,Garrick Higgo,54421,71.102,0.005,0.526,0.017,0.211,-0.315,-0.206,1.5,0.5,-5.0,1.0,592.0,-5.0,1.0
113,Harry Higgs,33597,71.509,-0.888,-0.483,0.144,-1.322,-0.886,0.433,,,,,,,
114,Lee Hodges,54628,70.703,0.302,0.276,-0.107,0.309,0.05,-0.007,,,,,,,
115,Charley Hoffman,12716,71.35,-0.253,0.027,0.021,0.381,0.362,-0.634,3.33,0.67,6.0,0.0,,,
116,Tom Hoge,35532,70.658,0.379,-0.246,-0.176,0.408,0.89,-0.029,6.0,0.0,6.0,0.0,655.0,6.0,0.0
117,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
118,J.B. Holmes,27141,,,,,,,,1.75,0.75,3.0,0.0,,,
119,Max Homa,39977,69.703,1.678,0.188,0.174,1.054,0.633,0.624,0.0,0.5,1.0,0.0,622.0,1.0,0.0
120,Billy Horschel,29420,71.455,-0.447,-0.339,-0.011,-0.599,-0.126,0.152,2.17,0.5,-7.5,1.0,571.0,-9.0,1.0
121,Beau Hossler,35461,70.608,0.274,0.152,0.287,0.105,-0.466,0.169,5.0,1.0,,,,,
122,Viktor Hovland,46717,69.453,1.448,0.736,-0.035,1.326,0.567,0.122,-6.0,1.0,,,,,
123,Mark Hubbard,36801,70.542,0.727,-0.166,0.179,0.62,0.602,0.107,,,,,,,
124,Mackenzie Hughes,35506,70.988,0.079,-0.337,0.247,-0.247,-0.15,0.326,-2.0,0.5,4.0,0.0,623.0,4.0,0.0
125,John Huh,34174,,,,,,,,,,,,,,
126,Sungjae Im,39971,70.068,1.154,0.451,0.246,0.865,0.157,0.29,6.5,0.5,4.0,1.0,641.0,4.0,1.0
127,Trevor Immelman,22378,,,,,,,,,,,,,,
128,Tony Jacklin,06306,,,,,,,,,,,,,,
129,Stephan Jaeger,36799,70.208,0.778,0.24,0.392,0.849,0.221,-0.071,,,,,,,
130,Richard Johnson,26420,,,,,,,,,,,,,,
131,Zach Johnson,24024,71.317,-0.449,-0.043,-0.039,-0.629,-0.376,0.181,-2.83,0.67,-6.0,0.5,664.0,3.0,0.0
132,Sung Kang,27974,,,,,,,,3.33,0.67,,,,,
133,Smylie Kaufman,46440,,,,,,,,6.0,0.0,,,,,
134,Michael Kim,39975,70.929,0.242,0.065,0.044,0.234,0.083,0.009,-3.0,1.0,,,,,
135,S.H. Kim,50188,70.9,0.409,0.397,0.205,0.164,-0.461,0.246,,,,,,,
136,Si Woo Kim,37455,70.129,0.979,0.391,0.124,1.125,0.567,-0.146,-1.6,0.6,-10.0,1.0,643.0,-10.0,1.0
137,Si Woo Kim,37455,70.129,0.979,0.391,0.124,1.125,0.567,-0.146,-1.6,0.6,-10.0,1.0,644.0,-10.0,1.0
138,Tom Kim,55182,70.097,0.834,0.255,0.025,0.994,0.705,-0.16,,,,,,,
139,Chris Kirk,30926,70.356,0.98,0.016,0.34,0.746,0.384,0.233,0.67,0.33,-6.0,1.0,579.0,-6.0,1.0
140,Kevin Kisner,29478,,,,,,,,0.71,0.86,-4.0,0.5,612.0,-9.0,1.0
