,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,last_season_score,last_season_cut,odds
80,Tyrrell Hatton,34363,70.058,1.801,0.78,-0.195,1.361,0.776,0.441,-6.8,0.8,-6.8,0.8,2221.0,-7.0,1.0,3983.0
81,David Hearn,26758,,,,,,,,3.4,0.2,3.4,0.2,,,,
82,Russell Henley,34098,70.847,-0.162,0.204,0.256,0.433,-0.027,-0.595,-2.43,0.43,-2.43,0.43,2201.0,1.0,0.0,4333.0
83,J.J. Henry,23353,,,,,,,,2.67,0.33,2.67,0.33,,,,
84,Lucas Herbert,39058,72.133,-1.203,0.151,-0.244,-1.372,-1.279,0.169,,,,,,,,21000.0
85,Jim Herman,31557,71.99,-1.006,0.134,-0.086,-0.574,-0.621,-0.433,1.17,0.5,1.17,0.5,2164.0,-1.0,1.0,102500.0
86,Kramer Hickok,49298,71.406,-0.095,0.149,-0.007,-0.031,-0.173,-0.064,6.0,0.0,6.0,0.0,2171.0,6.0,0.0,47333.0
87,Garrick Higgo,54421,71.262,-0.073,0.185,0.045,0.234,0.004,-0.307,9.0,0.0,9.0,0.0,2150.0,9.0,0.0,35000.0
88,Harry Higgs,33597,71.362,-1.154,-0.766,0.1,-1.624,-0.959,0.471,-2.33,0.67,-2.33,0.67,2152.0,1.0,0.0,
89,Lee Hodges,54628,70.905,0.272,0.239,-0.197,0.205,0.163,0.067,,,,,,,,29333.0
90,Charley Hoffman,12716,71.515,-0.358,-0.024,0.109,0.427,0.341,-0.784,-1.38,0.62,-1.38,0.62,2126.0,5.0,0.0,
91,Tom Hoge,35532,70.3,1.316,-0.036,-0.277,0.943,1.255,0.373,0.4,0.4,0.4,0.4,2222.0,5.0,0.0,9250.0
92,J.B. Holmes,27141,,,,,,,,,,,,,,,
93,Max Homa,39977,69.81,2.166,0.229,0.277,1.447,0.942,0.719,-11.0,1.0,-11.0,1.0,,,,2633.0
94,Billy Horschel,29420,71.778,-0.248,-0.598,0.165,-0.27,0.162,0.022,-2.5,0.75,-2.5,0.75,2116.0,-8.0,1.0,13583.0
95,Beau Hossler,35461,70.845,-0.055,-0.049,0.232,-0.194,-0.376,0.139,3.5,0.25,3.5,0.25,2117.0,12.0,0.0,27000.0
96,Viktor Hovland,46717,69.877,1.224,0.803,-0.227,1.139,0.562,0.085,-14.0,1.0,-14.0,1.0,,,,2150.0
97,Mark Hubbard,36801,71.075,0.229,-0.03,0.186,0.339,0.183,-0.11,2.0,0.5,2.0,0.5,,,,46333.0
98,Mackenzie Hughes,35506,70.909,0.377,-0.319,0.28,-0.086,-0.047,0.463,2.0,0.6,2.0,0.6,2184.0,8.0,0.0,20167.0
99,John Huh,34174,71.944,-1.831,-0.602,0.046,-1.542,-0.986,-0.289,0.0,0.33,0.0,0.33,,,,
100,Sungjae Im,39971,70.029,1.378,0.59,0.295,1.158,0.273,0.22,-3.25,0.5,-3.25,0.5,2208.0,-8.0,1.0,2517.0
101,Stephan Jaeger,36799,70.353,0.678,0.192,0.427,0.706,0.087,-0.028,9.0,0.0,9.0,0.0,2209.0,9.0,0.0,15667.0
102,Richard Johnson,26420,,,,,,,,,,,,,,,
103,Zach Johnson,24024,71.362,-0.484,-0.218,-0.181,-0.882,-0.483,0.399,0.0,0.5,0.0,0.5,,,,44500.0
104,Sung Kang,27974,72.681,-1.042,-0.627,-0.463,-1.301,-0.211,0.259,3.5,0.33,3.5,0.33,2210.0,1.0,0.0,
105,Michael Kim,39975,71.449,-0.218,0.009,-0.141,-0.06,0.072,-0.158,2.83,0.17,2.83,0.17,,,,
106,S.H. Kim,50188,70.731,0.636,0.301,0.073,0.112,-0.262,0.524,,,,,,,,
107,Si Woo Kim,37455,70.325,1.006,0.309,0.112,0.988,0.567,0.018,-3.5,0.67,-3.5,0.67,2211.0,-5.0,1.0,6200.0
108,Tom Kim,55182,70.218,1.079,0.194,0.264,1.091,0.633,-0.012,,,,,,,,
109,Chris Kirk,30926,70.377,1.242,0.012,0.418,0.758,0.328,0.484,-1.0,0.57,-1.0,0.57,2128.0,1.0,0.0,7433.0
110,Kevin Kisner,29478,72.917,-1.672,-0.868,-0.194,-1.613,-0.55,-0.059,-3.0,0.62,-3.0,0.62,2172.0,1.0,0.0,44500.0
111,Kurt Kitayama,48117,70.621,0.6,-0.017,0.197,0.535,0.354,0.065,,,,,,,,12833.0
112,Patton Kizzire,32757,71.407,-0.503,-0.19,-0.002,-0.481,-0.288,-0.022,-2.0,0.57,-2.0,0.57,2196.0,-7.0,1.0,38000.0
113,Philip Knowles,54813,72.707,-2.303,-0.354,-0.426,-1.502,-0.722,-0.802,,,,,,,,
114,Russell Knox,33122,71.432,-0.31,-0.625,-0.065,0.052,0.741,-0.363,-2.88,0.5,-2.88,0.5,2202.0,2.0,0.0,48667.0
115,Satoshi Kodaira,32816,71.479,-0.084,0.051,-0.152,0.343,0.445,-0.428,3.5,0.5,3.5,0.5,2212.0,9.0,0.0,49500.0
116,Kelly Kraft,35879,72.265,-1.518,-0.376,-0.595,-1.99,-1.019,0.472,3.0,0.0,3.0,0.0,,,,104167.0
117,Matt Kuchar,23108,69.994,1.249,0.134,0.463,1.083,0.485,0.167,-9.25,1.0,-9.25,1.0,2185.0,-12.0,1.0,4333.0
118,Martin Laird,27936,71.674,-0.671,-0.341,0.061,-0.491,-0.211,-0.18,-1.0,0.75,-1.0,0.75,,,,49500.0
119,Andrew Landry,33410,72.422,-1.241,0.046,0.004,-1.1,-1.15,-0.142,-6.25,1.0,-6.25,1.0,,,,80000.0
120,Nate Lashley,28775,71.239,-0.063,-0.016,-0.032,0.018,0.066,-0.081,2.0,0.0,2.0,0.0,2192.0,7.0,0.0,48333.0
121,Hank Lebioda,49766,72.026,-0.901,-0.677,-0.361,-0.85,0.188,-0.052,1.0,0.0,1.0,0.0,2153.0,1.0,0.0,
122,K.H. Lee,32791,70.724,0.609,0.015,0.336,0.61,0.259,-0.001,,,,,,,,13583.0
123,Nicholas Lindheim,37278,,,,,,,,,,,,,,,
124,David Lingmerth,34409,71.247,-0.321,-0.411,-0.133,-0.374,0.17,0.053,2.67,0.67,2.67,0.67,,,,
125,David Lipsky,36326,71.313,-0.462,-0.133,0.337,0.412,0.208,-0.874,,,,,,,,41333.0
126,Luke List,27129,71.614,-0.224,0.688,-0.11,0.807,0.229,-1.031,-0.29,0.57,-0.29,0.57,2180.0,7.0,0.0,30000.0
127,Adam Long,35449,71.613,-0.382,-0.076,0.091,-0.699,-0.714,0.317,-1.0,0.25,-1.0,0.25,2103.0,-9.0,1.0,48667.0
128,Davis Love III,01706,,,,,,,,2.83,0.33,2.83,0.33,2143.0,3.0,0.0,140000.0
129,Justin Lower,40162,71.423,-0.058,-0.205,-0.116,-0.662,-0.342,0.604,,,,,,,,63333.0
130,Shane Lowry,33204,70.536,0.636,0.428,0.024,1.047,0.595,-0.411,-7.2,0.8,-7.2,0.8,2213.0,-12.0,1.0,3133.0
131,Peter Malnati,34466,71.247,0.252,-0.442,0.259,-0.377,-0.194,0.629,-1.29,0.71,-1.29,0.71,2197.0,-5.0,1.0,41167.0
132,Ben Martin,33413,70.69,0.457,0.065,-0.251,0.501,0.688,-0.044,0.67,0.67,0.67,0.67,2118.0,0.0,1.0,12417.0
133,Hideki Matsuyama,32839,70.545,0.961,0.124,0.407,0.813,0.282,0.148,2.0,0.0,2.0,0.0,,,,
134,Brandon Matthews,51491,72.505,-1.456,0.2,-0.936,-0.966,-0.229,-0.491,,,,,,,,
135,Denny McCarthy,47993,70.245,0.713,0.108,0.064,0.248,0.075,0.465,-2.75,0.75,-2.75,0.75,2144.0,-1.0,1.0,11667.0
136,Tyler McCumber,40042,,,,,,,,,,,,,,,
