,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
159,Adam Long,35449,71.509,-0.264,-0.285,0.094,-0.67,-0.539,0.406,7.0,1.0,,,,,,
160,Davis Love III,01706,,,,,,,,,,,,,,,
161,Justin Lower,40162,71.393,-0.116,-0.235,-0.273,-0.687,-0.115,0.571,,,,,,,,
162,Shane Lowry,33204,70.532,0.664,0.488,-0.031,1.072,0.629,-0.408,5.38,0.75,,,1215.0,4.0,0.0,
163,Will MacKenzie,24912,,,,,,,,,,,,,,,
164,Hunter Mahan,24781,,,,,,,,7.0,0.0,,,,,,
165,Peter Malnati,34466,71.627,-0.307,-0.636,0.311,-0.723,-0.153,0.416,9.0,0.0,,,,,,
166,Ben Martin,33413,70.788,0.251,0.039,-0.408,0.225,0.668,0.026,13.0,1.0,,,,,,
167,Shigeki Maruyama,12680,,,,,,,,,,,,,,,
168,Hideki Matsuyama,32839,70.353,1.064,0.088,0.438,0.992,0.45,0.072,1.88,0.88,,,1164.0,-3.0,1.0,
169,Troy Matteson,27120,,,,,,,,,,,,,,,
170,Brandon Matthews,51491,72.752,-1.799,0.405,-1.05,-1.025,-0.219,-0.774,,,,,,,,
171,Denny McCarthy,47993,69.964,1.014,-0.011,0.072,0.265,0.06,0.749,4.67,0.67,,,1155.0,-1.0,1.0,
172,Tyler McCumber,40042,,,,,,,,,,,,,,,
173,William McGirt,31202,71.908,-0.165,-0.53,0.197,-0.551,-0.346,0.386,8.0,0.5,,,,,,
174,Jim McGovern,06090,,,,,,,,,,,,,,,
175,Max McGreevy,51950,73.061,-2.441,-0.671,0.049,-1.767,-1.175,-0.674,,,,,,,,
176,Rory McIlroy,28237,69.734,1.793,0.928,0.362,1.841,0.598,-0.048,2.12,0.62,,,1206.0,-2.0,1.0,
177,Parker McLachlin,24449,,,,,,,,,,,,,,,
178,Maverick McNealy,46442,70.398,0.316,-0.488,0.154,-0.742,-0.282,1.058,3.0,0.0,,,,,,
179,George McNeill,24490,,,,,,,,9.0,0.0,,,,,,
180,John Merrick,27933,,,,,,,,,,,,,,,
181,Troy Merritt,32640,72.217,-1.098,-0.378,-0.043,-0.666,-0.329,-0.432,11.25,0.5,,,1225.0,6.0,0.0,
182,Shaun Micheel,06515,,,,,,,,,,,,,,,
183,Johnny Miller,01815,,,,,,,,,,,,,,,
184,Keith Mitchell,39546,70.765,0.569,0.797,-0.078,0.447,-0.166,0.122,2.0,0.0,,,,,,
185,Francesco Molinari,25198,72.012,-0.431,-0.34,-0.22,-0.437,0.006,0.007,3.17,0.67,,,1158.0,6.0,0.0,
186,Taylor Montgomery,55789,70.328,0.737,-0.026,0.256,-0.263,-0.489,0.999,,,,,,,,
187,Ryan Moore,26596,71.571,-0.115,-0.313,-0.185,-0.04,0.43,-0.075,8.5,0.5,,,,,,
188,Taylor Moore,49947,70.519,0.722,0.258,-0.022,0.219,0.018,0.503,,,,,,,,
189,Collin Morikawa,50525,69.914,1.355,0.428,-0.007,1.574,1.135,-0.219,0.0,0.75,,,1146.0,-2.0,1.0,
190,Trey Mullinax,46601,71.955,-0.585,-0.045,-0.055,-0.18,0.013,-0.405,2.5,0.5,,,,,,
191,Grayson Murray,34213,,,,,,,,18.0,1.0,,,1160.0,18.0,1.0,
192,Matt NeSmith,36871,70.926,0.23,-0.036,0.008,0.234,0.205,-0.003,,,,,,,,
193,Jack Nicklaus,01869,,,,,,,,,,,,,,,
194,S.Y. Noh,29289,71.397,-0.711,-0.611,-0.214,-1.217,-0.371,0.506,,,,,,,,
195,Alex Noren,27349,70.948,0.408,-0.444,0.431,-0.053,-0.023,0.461,,,,,,,,
196,Henrik Norlander,30163,71.442,-0.769,-0.136,0.125,-0.211,-0.147,-0.559,,,,,,,,
197,Vincent Norrman,51070,71.06,-0.012,0.287,0.07,0.356,-0.075,-0.368,,,,,,,,
198,Andrew Novak,51997,70.871,0.698,-0.179,0.221,0.268,0.137,0.43,,,,,,,,
199,Augusto Núñez,36724,71.46,-0.27,-0.041,0.062,0.145,0.025,-0.415,,,,,,,,
200,Sean O'Hair,24140,71.229,0.069,-0.186,0.266,0.175,0.011,-0.106,5.0,0.0,,,,,,
201,Arron Oberholser,20628,,,,,,,,,,,,,,,
202,Joe Ogilvie,21949,,,,,,,,,,,,,,,
203,Geoff Ogilvy,22046,,,,,,,,5.0,0.5,,,,,,
204,Ryan Palmer,23320,71.082,0.096,0.176,-0.151,0.481,0.308,-0.385,7.25,0.25,,,,,,
205,C.T. Pan,29908,,,,,,,,8.33,0.33,,,,,,
